Date,Day,GridPoint,Row,Col,TimeTaken,TimeSlot,Temperature_C,Humidity_pct,People,WindowsOpen,OutdoorTemp_C,VentilationType,CloudCover,Rainfall,ActiveElectronics,DoorStatus,SunSide,RoomLength_m,RoomWidth_m,CeilingHeight_m,GridSize,WindowWidth_m,WindowHeight_m,WindowCount,ReadingHeight_m,FloorMaterial,WallMaterial
2026-03-05,Thursday,A1,A,1,08:00,Morning,28.5,78,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A2,A,2,08:03,Morning,28.8,78,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A3,A,3,08:06,Morning,28.8,78,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A4,A,4,08:08,Morning,28.8,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B1,B,1,08:09,Morning,28.7,80,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B2,B,2,08:11,Morning,28.7,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B3,B,3,08:13,Morning,28.7,80,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B4,B,4,08:14,Morning,28.6,80,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C1,C,1,08:16,Morning,28.7,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C2,C,2,08:18,Morning,28.7,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C3,C,3,08:19,Morning,29,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C4,C,4,08:21,Morning,29,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D1,D,1,08:25,Morning,29.1,79,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D2,D,2,08:27,Morning,29.2,80,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D3,D,3,08:30,Morning,29.1,81,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D4,D,4,08:32,Morning,29.1,81,4,0,27.9,Fan(s) on,Partly Cloudy,No,4,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A1,A,1,13:50,Afternoon,34.2,62,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A2,A,2,13:56,Afternoon,34.2,65,26,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A3,A,3,13:58,Afternoon,34.2,65,26,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A4,A,4,14:00,Afternoon,34,66,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B1,B,1,14:03,Afternoon,33.5,67,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B2,B,2,14:05,Afternoon,33.2,69,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B3,B,3,14:08,Afternoon,33.1,69,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B4,B,4,14:12,Afternoon,33.1,70,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C1,C,1,14:18,Afternoon,33.1,69,34,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C2,C,2,14:20,Afternoon,33.1,69,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C3,C,3,14:23,Afternoon,33.1,62,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C4,C,4,14:25,Afternoon,33.4,66,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D1,D,1,14:28,Afternoon,33.8,62,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D2,D,2,14:29,Afternoon,33.8,64,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D3,D,3,14:32,Afternoon,33.8,61,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D4,D,4,14:33,Afternoon,33.9,60,32,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A1,A,1,17:07,Evening,34.2,65,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A2,A,2,17:12,Evening,34,64,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A3,A,3,17:15,Evening,34.2,66,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,A4,A,4,17:16,Evening,34.2,61,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B1,B,1,17:17,Evening,34.2,67,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B2,B,2,17:20,Evening,34.4,64,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B3,B,3,17:22,Evening,34.4,68,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B4,B,4,17:25,Evening,34.3,68,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C1,C,1,17:30,Evening,34.3,64,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C2,C,2,17:32,Evening,34.3,66,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C3,C,3,17:33,Evening,34.3,62,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C4,C,4,17:34,Evening,34.2,63,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D1,D,1,17:38,Evening,34.6,62,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D2,D,2,17:40,Evening,34.3,62,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D3,D,3,17:42,Evening,34.3,59,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D4,D,4,17:50,Evening,34.3,58,10,3,33.8,Natural only,Overcast,No,5,Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A1,A,1,07:20,Morning,29.7,78,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A2,A,2,07:22,Morning,29.9,79,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A3,A,3,07:24,Morning,29.9,79,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A4,A,4,07:26,Morning,29.9,79,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B1,B,1,07:28,Morning,29.9,78,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B2,B,2,07:30,Morning,30,78,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B3,B,3,07:34,Morning,30.1,79,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B4,B,4,07:35,Morning,30.1,79,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C1,C,1,07:39,Morning,29.8,78,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C2,C,2,07:42,Morning,29.9,78,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C3,C,3,07:44,Morning,30,79,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C4,C,4,07:46,Morning,30,78,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D1,D,1,07:49,Morning,30.2,80,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D2,D,2,07:52,Morning,30.2,82,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D3,D,3,07:54,Morning,30.2,81,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D4,D,4,07:56,Morning,30.2,81,3,0,29,Fan(s) on,Clear,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A1,A,1,13:10,Afternoon,32.4,70,20,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A2,A,2,13:11,Afternoon,32.4,67,20,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A3,A,3,13:12,Afternoon,32,68,20,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A4,A,4,13:13,Afternoon,32,64,20,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B1,B,1,13:17,Afternoon,31.6,71,22,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B2,B,2,13:19,Afternoon,31.2,71,23,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B3,B,3,13:20,Afternoon,31.2,71,25,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B4,B,4,13:22,Afternoon,31.2,70,26,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C1,C,1,13:26,Afternoon,31.2,69,30,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C2,C,2,13:27,Afternoon,31.2,69,28,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C3,C,3,13:28,Afternoon,31.6,66,27,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C4,C,4,13:30,Afternoon,31.6,67,27,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D1,D,1,13:31,Afternoon,31.6,62,28,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D2,D,2,13:32,Afternoon,32,64,28,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D3,D,3,13:33,Afternoon,32,63,30,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D4,D,4,13:34,Afternoon,32,63,27,6,33,Natural only,Partly Cloudy,No,16,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A1,A,1,18:00,Evening,30.8,80,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A2,A,2,18:01,Evening,30.7,77,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A3,A,3,18:02,Evening,30.7,75,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,A4,A,4,18:03,Evening,30.7,74,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B1,B,1,18:05,Evening,31,76,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B2,B,2,18:07,Evening,30.9,76,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B3,B,3,18:08,Evening,30.8,76,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,B4,B,4,18:09,Evening,30.8,72,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C1,C,1,18:11,Evening,30.7,72,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C2,C,2,18:12,Evening,30.8,75,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C3,C,3,18:13,Evening,30.8,74,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,C4,C,4,18:15,Evening,30.8,72,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D1,D,1,18:17,Evening,31.2,72,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D2,D,2,18:18,Evening,31.3,73,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D3,D,3,18:19,Evening,31.3,73,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-06,Friday,D4,D,4,18:20,Evening,31.3,74,6,3,30.8,Fan(s) on,Partly Cloudy,No,6,Partially Open,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,A1,A,1,07:32,Morning,29.8,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,A2,A,2,07:33,Morning,30.2,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,A3,A,3,07:35,Morning,29.8,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,A4,A,4,07:37,Morning,29.8,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,B1,B,1,07:39,Morning,29.8,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,B2,B,2,07:40,Morning,29.8,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,B3,B,3,07:42,Morning,29.8,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,B4,B,4,07:43,Morning,29.8,78,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,C1,C,1,07:44,Morning,30,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,C2,C,2,07:45,Morning,30,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,C3,C,3,07:46,Morning,30,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,C4,C,4,07:48,Morning,30,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,D1,D,1,07:50,Morning,30.4,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,D2,D,2,07:51,Morning,30.4,79,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-07,Saturday,D3,D,3,07:52,Morning,30.4,81,3,0,29.6,Fan(s) on,Partly Cloudy,No,3,Closed,No direct sun,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
